"block","date","time","balance"
"3,851,070","2021/11/15 21:24:16 +02:00","1637004256","20997395.8010 RBTC"
"3,849,613","2021/11/15 07:41:54 +02:00","1636954914","20997392.8010 RBTC"
"3,849,472","2021/11/15 06:21:57 +02:00","1636950117","20997389.3010 RBTC"
"3,847,135","2021/11/14 08:22:16 +02:00","1636870936","20997390.2910 RBTC"
"3,845,990","2021/11/13 21:53:24 +02:00","1636833204","20997389.8406 RBTC"
"3,845,588","2021/11/13 18:04:02 +02:00","1636819442","20997389.7998 RBTC"
"3,844,529","2021/11/13 08:24:30 +02:00","1636784670","20997390.0376 RBTC"
"3,844,092","2021/11/13 04:36:35 +02:00","1636770995","20997390.1275 RBTC"
"3,843,254","2021/11/12 21:13:28 +02:00","1636744408","20997390.2186 RBTC"
"3,843,217","2021/11/12 20:54:16 +02:00","1636743256","20997390.1486 RBTC"
"3,842,762","2021/11/12 16:28:57 +02:00","1636727337","20997390.3700 RBTC"
"3,842,277","2021/11/12 12:03:37 +02:00","1636711417","20997390.3530 RBTC"
"3,841,118","2021/11/12 01:29:34 +02:00","1636673374","20997407.3530 RBTC"
"3,840,207","2021/11/11 17:12:20 +02:00","1636643540","20997407.3440 RBTC"
"3,838,384","2021/11/11 00:44:22 +02:00","1636584262","20997407.3588 RBTC"
"3,837,341","2021/11/10 15:03:15 +02:00","1636549395","20997403.3588 RBTC"
"3,836,963","2021/11/10 11:33:18 +02:00","1636536798","20997403.4424 RBTC"
"3,836,819","2021/11/10 10:09:31 +02:00","1636531771","20997403.3307 RBTC"
"3,836,726","2021/11/10 09:21:06 +02:00","1636528866","20997403.3806 RBTC"
"3,836,251","2021/11/10 05:06:04 +02:00","1636513564","20997403.4254 RBTC"
"3,836,166","2021/11/10 04:21:56 +02:00","1636510916","20997403.5759 RBTC"
"3,836,006","2021/11/10 02:57:05 +02:00","1636505825","20997397.3325 RBTC"
"3,836,077","2021/11/10 03:36:21 +02:00","1636508181","20997397.3096 RBTC"
"3,835,804","2021/11/10 01:04:16 +02:00","1636499056","20997397.3385 RBTC"
"3,835,562","2021/11/09 22:48:29 +02:00","1636490909","20997394.3385 RBTC"
"3,835,292","2021/11/09 20:22:57 +02:00","1636482177","20997394.6750 RBTC"
"3,834,537","2021/11/09 13:02:47 +02:00","1636455767","20997394.4168 RBTC"
"3,834,609","2021/11/09 13:46:09 +02:00","1636458369","20997394.4250 RBTC"
"3,834,346","2021/11/09 11:15:15 +02:00","1636449315","20997394.3748 RBTC"
"3,834,306","2021/11/09 10:53:05 +02:00","1636447985","20997429.3748 RBTC"
"3,834,190","2021/11/09 09:44:42 +02:00","1636443882","20997425.2748 RBTC"
"3,833,008","2021/11/08 23:01:29 +02:00","1636405289","20997423.4125 RBTC"
"3,832,724","2021/11/08 20:24:55 +02:00","1636395895","20997423.4185 RBTC"
"3,832,450","2021/11/08 17:24:57 +02:00","1636385097","20997423.6552 RBTC"
"3,831,697","2021/11/08 10:02:28 +02:00","1636358548","20997421.6553 RBTC"
"3,831,173","2021/11/08 05:07:13 +02:00","1636340833","20997417.1553 RBTC"
"3,830,909","2021/11/08 02:30:02 +02:00","1636331402","20997417.0994 RBTC"
"3,830,672","2021/11/08 00:21:15 +02:00","1636323675","20997416.9994 RBTC"
"3,830,012","2021/11/07 18:15:26 +02:00","1636301726","20997413.9994 RBTC"
"3,829,936","2021/11/07 17:31:33 +02:00","1636299093","20997411.9994 RBTC"
"3,828,533","2021/11/07 04:45:50 +02:00","1636253150","20997411.9794 RBTC"
"3,828,425","2021/11/07 03:48:24 +02:00","1636249704","20997412.0781 RBTC"
"3,827,653","2021/11/06 20:39:14 +02:00","1636223954","20997432.0781 RBTC"
"3,827,502","2021/11/06 19:10:35 +02:00","1636218635","20997432.0831 RBTC"
"3,826,993","2021/11/06 14:33:55 +02:00","1636202035","20997428.0831 RBTC"
"3,826,826","2021/11/06 12:54:48 +02:00","1636196088","20997440.0831 RBTC"
"3,826,337","2021/11/06 08:30:15 +02:00","1636180215","20997472.0831 RBTC"
"3,826,069","2021/11/06 06:06:25 +02:00","1636171585","20997472.2631 RBTC"
"3,825,589","2021/11/06 01:51:31 +02:00","1636156291","20997472.2681 RBTC"
"3,825,019","2021/11/05 20:25:20 +02:00","1636136720","20997472.2781 RBTC"
"3,824,639","2021/11/05 16:33:37 +02:00","1636122817","20997472.2571 RBTC"
