"block","date","time","balance"
"3,721,585","2021/09/27 22:45:12 +02:00","1632775512","20997863.6232 RBTC"
"3,720,747","2021/09/27 15:06:18 +02:00","1632747978","20997866.6227 RBTC"
"3,719,747","2021/09/27 05:54:06 +02:00","1632714846","20997866.9858 RBTC"
"3,717,939","2021/09/26 13:54:10 +02:00","1632657250","20997866.9818 RBTC"
"3,714,605","2021/09/25 09:12:07 +02:00","1632553927","20997867.5337 RBTC"
"3,714,483","2021/09/25 07:57:59 +02:00","1632549479","20997868.5354 RBTC"
"3,714,074","2021/09/25 04:27:54 +02:00","1632536874","20997871.5348 RBTC"
"3,713,603","2021/09/25 00:13:08 +02:00","1632521588","20997911.4733 RBTC"
"3,711,705","2021/09/24 06:13:24 +02:00","1632456804","20997911.4643 RBTC"
"3,710,838","2021/09/23 22:25:21 +02:00","1632428721","20997911.1443 RBTC"
"3,708,681","2021/09/23 03:12:32 +02:00","1632359552","20997907.1648 RBTC"
"3,708,032","2021/09/22 21:33:58 +02:00","1632339238","20997932.1748 RBTC"
"3,708,083","2021/09/22 22:00:26 +02:00","1632340826","20997932.1648 RBTC"
"3,707,142","2021/09/22 13:31:34 +02:00","1632310294","20997932.2122 RBTC"
"3,706,480","2021/09/22 07:39:11 +02:00","1632289151","20997932.3933 RBTC"
"3,705,655","2021/09/22 00:30:38 +02:00","1632263438","20997972.3933 RBTC"
"3,705,325","2021/09/21 21:25:33 +02:00","1632252333","20997972.3693 RBTC"
"3,705,031","2021/09/21 18:46:35 +02:00","1632242795","20997972.1293 RBTC"
"3,704,811","2021/09/21 16:43:49 +02:00","1632235429","20997972.3076 RBTC"
"3,704,417","2021/09/21 13:09:38 +02:00","1632222578","20997972.5855 RBTC"
"3,703,695","2021/09/21 06:43:31 +02:00","1632199411","20997981.5855 RBTC"
"3,702,176","2021/09/20 17:36:18 +02:00","1632152178","20997978.9759 RBTC"
"3,701,819","2021/09/20 13:46:13 +02:00","1632138373","20997979.0249 RBTC"
"3,701,643","2021/09/20 12:13:49 +02:00","1632132829","20997976.0249 RBTC"
"3,701,474","2021/09/20 10:48:25 +02:00","1632127705","20997976.0148 RBTC"
"3,700,986","2021/09/20 06:27:11 +02:00","1632112031","20997976.7859 RBTC"
"3,700,423","2021/09/20 01:32:41 +02:00","1632094361","20997976.8180 RBTC"
"3,699,798","2021/09/19 19:54:25 +02:00","1632074065","20997973.8180 RBTC"
"3,699,593","2021/09/19 18:03:13 +02:00","1632067393","20997974.7759 RBTC"
"3,697,620","2021/09/19 01:00:25 +02:00","1632006025","20997975.0258 RBTC"
"3,695,877","2021/09/18 09:36:39 +02:00","1631950599","20997975.0550 RBTC"
"3,695,055","2021/09/18 02:33:50 +02:00","1631925230","20997978.0545 RBTC"
"3,694,834","2021/09/18 00:42:28 +02:00","1631918548","20997975.2605 RBTC"
"3,694,385","2021/09/17 20:48:25 +02:00","1631904505","20997975.2735 RBTC"
"3,693,025","2021/09/17 08:57:28 +02:00","1631861848","20997975.2835 RBTC"
"3,692,745","2021/09/17 06:28:40 +02:00","1631852920","20997975.4035 RBTC"
"3,691,903","2021/09/16 23:06:53 +02:00","1631826413","20997971.7380 RBTC"
"3,691,372","2021/09/16 18:28:01 +02:00","1631809681","20997971.8926 RBTC"
"3,690,928","2021/09/16 14:24:44 +02:00","1631795084","20997972.1426 RBTC"
"3,689,010","2021/09/15 21:15:16 +02:00","1631733316","20997975.1420 RBTC"
"3,688,290","2021/09/15 14:45:31 +02:00","1631709931","20997975.3420 RBTC"
"3,688,230","2021/09/15 14:12:16 +02:00","1631707936","20998000.3420 RBTC"
"3,686,671","2021/09/15 00:15:28 +02:00","1631657728","20998002.8416 RBTC"
"3,685,862","2021/09/14 16:54:43 +02:00","1631631283","20998003.8395 RBTC"
"3,685,155","2021/09/14 10:48:25 +02:00","1631609305","20998003.9403 RBTC"
"3,683,482","2021/09/13 20:15:24 +02:00","1631556924","20998018.9403 RBTC"
"3,683,242","2021/09/13 18:05:27 +02:00","1631549127","20998018.9909 RBTC"
"3,681,077","2021/09/12 23:06:23 +02:00","1631480783","20998015.4902 RBTC"
"3,678,773","2021/09/12 03:22:21 +02:00","1631409741","20998015.1402 RBTC"
"3,675,699","2021/09/11 00:51:31 +02:00","1631314291","20998014.6402 RBTC"
"3,675,084","2021/09/10 19:27:19 +02:00","1631294839","20998011.6402 RBTC"
"3,671,542","2021/09/09 11:42:38 +02:00","1631180558","20998008.6402 RBTC"
"3,671,449","2021/09/09 10:54:29 +02:00","1631177669","20998008.6512 RBTC"
"3,670,464","2021/09/09 02:32:45 +02:00","1631147565","20998008.6764 RBTC"
"3,670,039","2021/09/08 22:45:03 +02:00","1631133903","20998005.4041 RBTC"
"3,668,705","2021/09/08 11:12:08 +02:00","1631092328","20998005.4168 RBTC"
"3,667,363","2021/09/07 23:33:50 +02:00","1631050430","20998005.5418 RBTC"
"3,666,627","2021/09/07 17:06:44 +02:00","1631027204","20998001.5418 RBTC"
"3,666,080","2021/09/07 12:17:15 +02:00","1631009835","20998001.2913 RBTC"
"3,666,209","2021/09/07 13:27:42 +02:00","1631014062","20998001.1699 RBTC"
"3,665,945","2021/09/07 11:07:39 +02:00","1631005659","20998000.9413 RBTC"
"3,665,176","2021/09/07 04:24:15 +02:00","1630981455","20997997.9413 RBTC"
"3,665,073","2021/09/07 03:33:01 +02:00","1630978381","20998022.9413 RBTC"
"3,662,500","2021/09/06 04:49:44 +02:00","1630896584","20998023.0779 RBTC"
"3,662,523","2021/09/06 05:03:45 +02:00","1630897425","20998022.9803 RBTC"
"3,661,913","2021/09/05 23:36:23 +02:00","1630877783","20998020.3646 RBTC"
"3,661,406","2021/09/05 19:04:36 +02:00","1630861476","20998020.0146 RBTC"
"3,661,129","2021/09/05 16:40:23 +02:00","1630852823","20998017.0146 RBTC"
"3,661,030","2021/09/05 15:55:23 +02:00","1630850123","20998016.4146 RBTC"
"3,660,589","2021/09/05 12:03:23 +02:00","1630836203","20998016.3546 RBTC"
"3,660,394","2021/09/05 10:21:12 +02:00","1630830072","20998016.3826 RBTC"
"3,658,983","2021/09/04 22:16:44 +02:00","1630786604","20998016.6215 RBTC"
"3,658,919","2021/09/04 21:45:40 +02:00","1630784740","20998016.6015 RBTC"
"3,657,386","2021/09/04 08:48:23 +02:00","1630738103","20998016.9983 RBTC"
"3,656,024","2021/09/03 20:59:04 +02:00","1630695544","20998017.0083 RBTC"
"3,655,949","2021/09/03 20:21:36 +02:00","1630693296","20998013.6831 RBTC"
"3,655,860","2021/09/03 19:36:32 +02:00","1630690592","20998013.6931 RBTC"
"3,655,454","2021/09/03 16:12:50 +02:00","1630678370","20998013.7134 RBTC"
"3,652,980","2021/09/02 18:39:18 +02:00","1630600758","20998013.7583 RBTC"
"3,652,749","2021/09/02 16:35:35 +02:00","1630593335","20998003.7583 RBTC"
"3,652,431","2021/09/02 13:52:07 +02:00","1630583527","20998003.7063 RBTC"
"3,652,150","2021/09/02 11:27:38 +02:00","1630574858","20998000.8644 RBTC"
"3,651,862","2021/09/02 08:57:05 +02:00","1630565825","20998000.8849 RBTC"
"3,651,370","2021/09/02 04:36:37 +02:00","1630550197","20997997.8849 RBTC"
"3,651,278","2021/09/02 03:42:29 +02:00","1630546949","20997997.6019 RBTC"
"3,651,281","2021/09/02 03:44:17 +02:00","1630547057","20997997.9019 RBTC"
"3,651,137","2021/09/02 02:30:05 +02:00","1630542605","20997993.6019 RBTC"
"3,649,947","2021/09/01 15:47:31 +02:00","1630504051","20997993.6135 RBTC"
"3,648,001","2021/08/31 23:00:53 +02:00","1630443653","20997990.6719 RBTC"
"3,647,590","2021/08/31 19:18:22 +02:00","1630430302","20997990.6519 RBTC"
"3,647,441","2021/08/31 17:59:24 +02:00","1630425564","20997990.8595 RBTC"
"3,646,994","2021/08/31 13:58:03 +02:00","1630411083","20997990.0195 RBTC"
"3,647,010","2021/08/31 14:06:14 +02:00","1630411574","20997989.8695 RBTC"
"3,646,843","2021/08/31 12:31:24 +02:00","1630405884","20997985.9764 RBTC"
"3,646,392","2021/08/31 08:34:08 +02:00","1630391648","20997981.9764 RBTC"
"3,645,877","2021/08/31 04:11:34 +02:00","1630375894","20997978.3592 RBTC"
"3,642,988","2021/08/30 02:20:54 +02:00","1630282854","20997978.2842 RBTC"
"3,642,023","2021/08/29 17:49:23 +02:00","1630252163","20997978.2332 RBTC"
"3,641,900","2021/08/29 16:45:23 +02:00","1630248323","20997971.8149 RBTC"
"3,641,199","2021/08/29 10:30:35 +02:00","1630225835","20997970.7139 RBTC"
"3,640,740","2021/08/29 06:34:04 +02:00","1630211644","20997968.8108 RBTC"
"3,640,764","2021/08/29 06:45:15 +02:00","1630212315","20997973.7134 RBTC"
"3,640,496","2021/08/29 04:31:27 +02:00","1630204287","20997968.6608 RBTC"
"3,638,725","2021/08/28 12:09:11 +02:00","1630145351","20997968.1608 RBTC"
"3,637,385","2021/08/28 00:48:06 +02:00","1630104486","20997971.9492 RBTC"
"3,636,494","2021/08/27 16:41:30 +02:00","1630075290","20997971.9402 RBTC"
"3,636,362","2021/08/27 15:21:24 +02:00","1630070484","20997971.9322 RBTC"
"3,636,160","2021/08/27 13:37:53 +02:00","1630064273","20997971.9889 RBTC"
"3,635,841","2021/08/27 10:54:55 +02:00","1630054495","20997971.9807 RBTC"
"3,635,574","2021/08/27 08:33:40 +02:00","1630046020","20997991.9807 RBTC"
"3,635,387","2021/08/27 06:54:49 +02:00","1630040089","20997992.2807 RBTC"
"3,635,302","2021/08/27 06:15:40 +02:00","1630037740","20998017.2807 RBTC"
"3,635,053","2021/08/27 04:06:15 +02:00","1630029975","20998030.2807 RBTC"
"3,633,626","2021/08/26 14:54:08 +02:00","1629982448","20998030.4853 RBTC"
"3,633,072","2021/08/26 09:51:51 +02:00","1629964311","20998030.5353 RBTC"
"3,632,580","2021/08/26 05:33:11 +02:00","1629948791","20998030.7807 RBTC"
"3,630,471","2021/08/25 10:50:34 +02:00","1629881434","20998030.8032 RBTC"
"3,629,077","2021/08/24 22:32:19 +02:00","1629837139","20998030.7752 RBTC"
"3,628,950","2021/08/24 21:24:23 +02:00","1629833063","20998028.1593 RBTC"
"3,628,817","2021/08/24 20:13:11 +02:00","1629828791","20998028.3346 RBTC"
"3,628,719","2021/08/24 19:18:31 +02:00","1629825511","20998028.1856 RBTC"
"3,628,160","2021/08/24 14:16:05 +02:00","1629807365","20998024.6919 RBTC"
"3,628,175","2021/08/24 14:24:39 +02:00","1629807879","20998024.5990 RBTC"
"3,627,104","2021/08/24 05:01:01 +02:00","1629774061","20998024.5019 RBTC"
"3,627,119","2021/08/24 05:09:18 +02:00","1629774558","20998024.4919 RBTC"
"3,626,660","2021/08/24 01:12:39 +02:00","1629760359","20998024.5119 RBTC"
"3,626,623","2021/08/24 00:54:55 +02:00","1629759295","20998024.5013 RBTC"
"3,625,951","2021/08/23 18:51:38 +02:00","1629737498","20998022.0412 RBTC"
"3,626,003","2021/08/23 19:16:21 +02:00","1629738981","20998024.4863 RBTC"
"3,625,220","2021/08/23 12:23:02 +02:00","1629714182","20998022.1926 RBTC"
"3,625,118","2021/08/23 11:27:36 +02:00","1629710856","20998022.1551 RBTC"
"3,623,947","2021/08/23 00:57:55 +02:00","1629673075","20998042.1551 RBTC"
"3,622,057","2021/08/22 08:48:57 +02:00","1629614937","20998042.2050 RBTC"
"3,620,851","2021/08/21 22:19:45 +02:00","1629577185","20998038.5604 RBTC"
"3,620,915","2021/08/21 22:52:07 +02:00","1629579127","20998042.2250 RBTC"
"3,620,118","2021/08/21 16:12:23 +02:00","1629555143","20998035.5604 RBTC"
"3,617,630","2021/08/20 18:54:47 +02:00","1629478487","20998035.5741 RBTC"
"3,617,294","2021/08/20 15:51:38 +02:00","1629467498","20998032.9388 RBTC"
"3,617,351","2021/08/20 16:24:38 +02:00","1629469478","20998035.5935 RBTC"
"3,616,559","2021/08/20 09:09:42 +02:00","1629443382","20998032.9329 RBTC"
"3,616,337","2021/08/20 07:12:42 +02:00","1629436362","20998032.9379 RBTC"
"3,615,279","2021/08/19 22:12:38 +02:00","1629403958","20998033.9341 RBTC"
"3,615,289","2021/08/19 22:17:17 +02:00","1629404237","20998033.9381 RBTC"
"3,614,307","2021/08/19 14:19:20 +02:00","1629375560","20998033.9341 RBTC"
"3,612,389","2021/08/18 21:46:49 +02:00","1629316009","20998030.3775 RBTC"
"3,611,944","2021/08/18 17:54:35 +02:00","1629302075","20998026.5419 RBTC"
"3,610,031","2021/08/18 01:15:54 +02:00","1629242154","20998026.4949 RBTC"
"3,609,379","2021/08/17 19:33:49 +02:00","1629221629","20998023.4949 RBTC"
"3,609,032","2021/08/17 16:31:34 +02:00","1629210694","20998022.9949 RBTC"
"3,608,168","2021/08/17 09:00:15 +02:00","1629183615","20998019.9949 RBTC"
"3,607,799","2021/08/17 05:45:02 +02:00","1629171902","20998016.1224 RBTC"
"3,607,824","2021/08/17 05:58:42 +02:00","1629172722","20998020.0503 RBTC"
"3,606,467","2021/08/16 18:15:16 +02:00","1629130516","20998016.1374 RBTC"
"3,606,189","2021/08/16 15:46:02 +02:00","1629121562","20998012.6109 RBTC"
"3,603,794","2021/08/15 18:55:23 +02:00","1629046523","20998009.7119 RBTC"
"3,602,991","2021/08/15 11:58:27 +02:00","1629021507","20998009.3119 RBTC"
"3,600,942","2021/08/14 18:18:18 +02:00","1628957898","20998009.4243 RBTC"
"3,600,917","2021/08/14 18:03:19 +02:00","1628956999","20998009.7084 RBTC"
"3,600,471","2021/08/14 14:12:01 +02:00","1628943121","20998009.8675 RBTC"
"3,599,143","2021/08/14 02:45:49 +02:00","1628901949","20998009.8875 RBTC"
"3,598,704","2021/08/13 22:55:59 +02:00","1628888159","20998006.8865 RBTC"
"3,598,797","2021/08/13 23:46:55 +02:00","1628891215","20998009.8865 RBTC"
"3,598,258","2021/08/13 19:05:36 +02:00","1628874336","20998006.4865 RBTC"
"3,598,174","2021/08/13 18:29:33 +02:00","1628872173","20998006.4621 RBTC"
"3,597,915","2021/08/13 16:02:59 +02:00","1628863379","20998000.4621 RBTC"
"3,597,927","2021/08/13 16:08:34 +02:00","1628863714","20998002.4621 RBTC"
"3,595,849","2021/08/12 22:06:34 +02:00","1628798794","20997999.9521 RBTC"
"3,594,701","2021/08/12 12:09:26 +02:00","1628762966","20997999.9694 RBTC"
"3,593,498","2021/08/12 01:44:36 +02:00","1628725476","20998000.5209 RBTC"
"3,593,396","2021/08/12 00:45:17 +02:00","1628721917","20997999.8209 RBTC"
"3,591,884","2021/08/11 11:09:06 +02:00","1628672946","20998000.1019 RBTC"
"3,591,398","2021/08/11 07:00:39 +02:00","1628658039","20998000.3574 RBTC"
"3,591,296","2021/08/11 06:08:31 +02:00","1628654911","20998000.3679 RBTC"
"3,591,055","2021/08/11 03:59:59 +02:00","1628647199","20998000.3579 RBTC"
"3,589,575","2021/08/10 15:00:18 +02:00","1628600418","20997996.3579 RBTC"
"3,588,961","2021/08/10 09:45:58 +02:00","1628581558","20997996.6715 RBTC"
"3,588,761","2021/08/10 08:00:03 +02:00","1628575203","20997996.6940 RBTC"
"3,588,535","2021/08/10 06:07:28 +02:00","1628568448","20997996.7043 RBTC"
"3,587,807","2021/08/09 23:54:18 +02:00","1628546058","20997996.6043 RBTC"
"3,586,729","2021/08/09 14:27:27 +02:00","1628512047","20997992.3233 RBTC"
"3,586,793","2021/08/09 15:06:11 +02:00","1628514371","20997992.6043 RBTC"
"3,584,719","2021/08/08 21:09:07 +02:00","1628449747","20997992.3626 RBTC"
"3,584,298","2021/08/08 17:30:47 +02:00","1628436647","20997988.3626 RBTC"
"3,583,549","2021/08/08 10:50:34 +02:00","1628412634","20997983.2232 RBTC"
"3,583,662","2021/08/08 11:49:53 +02:00","1628416193","20997988.3732 RBTC"
"3,581,322","2021/08/07 15:24:17 +02:00","1628342657","20997980.2232 RBTC"
"3,580,877","2021/08/07 11:29:19 +02:00","1628328559","20997980.2432 RBTC"
"3,580,033","2021/08/07 04:09:01 +02:00","1628302141","20997975.7445 RBTC"
"3,579,826","2021/08/07 02:14:28 +02:00","1628295268","20997972.7445 RBTC"
"3,579,446","2021/08/06 22:55:27 +02:00","1628283327","20997969.1898 RBTC"
"3,578,891","2021/08/06 17:58:17 +02:00","1628265497","20997966.1898 RBTC"
"3,578,774","2021/08/06 16:57:17 +02:00","1628261837","20997965.9568 RBTC"
"3,577,864","2021/08/06 08:57:19 +02:00","1628233039","20997965.9458 RBTC"
"3,577,583","2021/08/06 06:36:27 +02:00","1628224587","20997998.9458 RBTC"
"3,577,416","2021/08/06 05:12:08 +02:00","1628219528","20997999.0788 RBTC"
"3,576,938","2021/08/06 00:59:14 +02:00","1628204354","20997999.3298 RBTC"
"3,575,489","2021/08/05 12:18:10 +02:00","1628158690","20997999.1612 RBTC"
"3,574,727","2021/08/05 05:43:11 +02:00","1628134991","20997999.1751 RBTC"
"3,572,524","2021/08/04 10:34:43 +02:00","1628066083","20997996.8982 RBTC"
"3,571,958","2021/08/04 05:36:50 +02:00","1628048210","20997997.5466 RBTC"
"3,571,457","2021/08/04 01:18:37 +02:00","1628032717","20998001.7415 RBTC"
"3,570,951","2021/08/03 20:51:43 +02:00","1628016703","20998002.1685 RBTC"
"3,570,580","2021/08/03 17:32:47 +02:00","1628004767","20998002.1524 RBTC"
"3,570,140","2021/08/03 13:36:23 +02:00","1627990583","20998000.6534 RBTC"
"3,569,328","2021/08/03 06:21:44 +02:00","1627964504","20998001.3141 RBTC"
"3,569,217","2021/08/03 05:15:51 +02:00","1627960551","20998001.3261 RBTC"
"3,568,515","2021/08/02 23:26:14 +02:00","1627939574","20998001.2362 RBTC"
"3,567,970","2021/08/02 18:30:13 +02:00","1627921813","20998001.1895 RBTC"
"3,567,458","2021/08/02 13:57:09 +02:00","1627905429","20998001.2594 RBTC"
"3,565,623","2021/08/01 21:33:35 +02:00","1627846415","20998001.2696 RBTC"
"3,565,138","2021/08/01 17:12:41 +02:00","1627830761","20998001.2822 RBTC"
"3,564,937","2021/08/01 15:26:23 +02:00","1627824383","20998001.2742 RBTC"
"3,564,804","2021/08/01 14:15:41 +02:00","1627820141","20998001.1147 RBTC"
"3,564,052","2021/08/01 07:57:09 +02:00","1627797429","20998001.1346 RBTC"
"3,559,158","2021/07/30 12:39:46 +02:00","1627641586","20997999.7645 RBTC"
"3,558,785","2021/07/30 09:24:53 +02:00","1627629893","20997999.7745 RBTC"
"3,558,591","2021/07/30 07:41:48 +02:00","1627623708","20998004.9982 RBTC"
"3,556,898","2021/07/29 17:00:14 +02:00","1627570814","20998004.9883 RBTC"
"3,556,364","2021/07/29 12:18:12 +02:00","1627553892","20998005.0475 RBTC"
"3,556,144","2021/07/29 10:31:08 +02:00","1627547468","20998006.1474 RBTC"
"3,556,226","2021/07/29 11:09:18 +02:00","1627549758","20998006.0475 RBTC"
"3,555,739","2021/07/29 07:09:24 +02:00","1627535364","20998003.1474 RBTC"
"3,554,859","2021/07/28 23:23:56 +02:00","1627507436","20998003.1723 RBTC"
"3,554,116","2021/07/28 16:44:54 +02:00","1627483494","20998002.9323 RBTC"
"3,552,957","2021/07/28 06:36:28 +02:00","1627446988","20998000.3323 RBTC"
"3,552,271","2021/07/28 00:44:53 +02:00","1627425893","20998000.3179 RBTC"
"3,550,228","2021/07/27 06:51:42 +02:00","1627361502","20997998.8679 RBTC"
"3,550,252","2021/07/27 07:06:14 +02:00","1627362374","20997999.1679 RBTC"
"3,549,491","2021/07/27 00:36:46 +02:00","1627339006","20997995.9694 RBTC"
"3,549,536","2021/07/27 01:01:37 +02:00","1627340497","20997998.8852 RBTC"
"3,548,752","2021/07/26 18:00:59 +02:00","1627315259","20997993.5694 RBTC"
"3,548,438","2021/07/26 15:10:24 +02:00","1627305024","20997996.5694 RBTC"
"3,548,354","2021/07/26 14:24:12 +02:00","1627302252","20997992.5694 RBTC"
"3,545,962","2021/07/25 17:02:43 +02:00","1627225363","20997992.5874 RBTC"
"3,543,770","2021/07/24 21:59:43 +02:00","1627156783","20997992.2874 RBTC"
"3,542,006","2021/07/24 06:30:15 +02:00","1627101015","20997992.2649 RBTC"
"3,540,829","2021/07/23 20:18:47 +02:00","1627064327","20997993.2352 RBTC"
"3,539,355","2021/07/23 07:15:43 +02:00","1627017343","20997993.2552 RBTC"
"3,537,913","2021/07/22 18:00:58 +02:00","1626969658","20997993.2696 RBTC"
"3,537,722","2021/07/22 16:18:13 +02:00","1626963493","20997989.7281 RBTC"
"3,537,738","2021/07/22 16:24:56 +02:00","1626963896","20997993.2496 RBTC"
"3,537,580","2021/07/22 15:06:51 +02:00","1626959211","20997992.3493 RBTC"
"3,537,255","2021/07/22 12:15:25 +02:00","1626948925","20997990.0004 RBTC"
"3,535,565","2021/07/21 20:57:22 +02:00","1626893842","20997990.5001 RBTC"
"3,535,243","2021/07/21 18:03:15 +02:00","1626883395","20997990.4801 RBTC"
"3,529,579","2021/07/19 15:21:34 +02:00","1626700894","20997991.0925 RBTC"
"3,529,635","2021/07/19 15:51:45 +02:00","1626702705","20997990.5399 RBTC"
"3,529,649","2021/07/19 16:00:09 +02:00","1626703209","20997990.5199 RBTC"
"3,529,528","2021/07/19 14:54:53 +02:00","1626699293","20997991.1126 RBTC"
"3,529,329","2021/07/19 13:15:04 +02:00","1626693304","20997991.1234 RBTC"
"3,528,863","2021/07/19 09:30:18 +02:00","1626679818","20997990.8364 RBTC"
"3,525,981","2021/07/18 07:54:18 +02:00","1626587658","20997986.8364 RBTC"
"3,525,463","2021/07/18 03:27:15 +02:00","1626571635","20997987.8774 RBTC"
"3,525,284","2021/07/18 01:51:46 +02:00","1626565906","20997987.8053 RBTC"
"3,525,231","2021/07/18 01:21:41 +02:00","1626564101","20997987.5653 RBTC"
"3,524,086","2021/07/17 15:18:44 +02:00","1626527924","20997987.7051 RBTC"
"3,523,853","2021/07/17 13:14:09 +02:00","1626520449","20997983.9213 RBTC"
"3,523,538","2021/07/17 10:27:04 +02:00","1626510424","20997983.7813 RBTC"
"3,523,458","2021/07/17 09:45:29 +02:00","1626507929","20997983.7963 RBTC"
"3,523,293","2021/07/17 08:18:22 +02:00","1626502702","20997983.9765 RBTC"
"3,522,532","2021/07/17 01:40:13 +02:00","1626478813","20997983.9874 RBTC"
"3,522,043","2021/07/16 21:31:54 +02:00","1626463914","20997980.9874 RBTC"
"3,521,930","2021/07/16 20:33:22 +02:00","1626460402","20997980.9774 RBTC"
"3,521,665","2021/07/16 18:18:02 +02:00","1626452282","20997980.9924 RBTC"
"3,521,571","2021/07/16 17:25:59 +02:00","1626449159","20997979.5025 RBTC"
"3,521,369","2021/07/16 15:39:33 +02:00","1626442773","20997975.5025 RBTC"
"3,521,328","2021/07/16 15:18:18 +02:00","1626441498","20997984.5002 RBTC"
"3,520,984","2021/07/16 12:16:20 +02:00","1626430580","20997982.2517 RBTC"
"3,520,847","2021/07/16 11:03:56 +02:00","1626426236","20998008.1199 RBTC"
"3,516,600","2021/07/14 22:00:10 +02:00","1626292810","20998008.0699 RBTC"
"3,516,454","2021/07/14 20:44:16 +02:00","1626288256","20998008.0801 RBTC"
"3,515,645","2021/07/14 13:24:38 +02:00","1626261878","20998003.9671 RBTC"
"3,515,325","2021/07/14 10:39:25 +02:00","1626251965","20998004.4061 RBTC"
"3,514,051","2021/07/13 23:27:36 +02:00","1626211656","20998005.4060 RBTC"
"3,513,500","2021/07/13 18:33:28 +02:00","1626194008","20998002.4060 RBTC"
"3,512,993","2021/07/13 14:04:27 +02:00","1626177867","20998002.4635 RBTC"
"3,512,868","2021/07/13 12:59:01 +02:00","1626173941","20998002.3075 RBTC"
"3,512,960","2021/07/13 13:47:06 +02:00","1626176826","20998002.3075 RBTC"
"3,512,678","2021/07/13 11:08:32 +02:00","1626167312","20997998.9086 RBTC"
"3,512,620","2021/07/13 10:37:55 +02:00","1626165475","20997996.6786 RBTC"
"3,511,507","2021/07/13 00:53:59 +02:00","1626130439","20997996.6890 RBTC"
"3,511,250","2021/07/12 22:36:01 +02:00","1626122161","20997991.7890 RBTC"
"3,510,870","2021/07/12 19:18:23 +02:00","1626110303","20997988.2451 RBTC"
"3,510,735","2021/07/12 18:04:39 +02:00","1626105879","20997989.2450 RBTC"
"3,510,147","2021/07/12 12:33:21 +02:00","1626086001","20997984.2243 RBTC"
"3,504,350","2021/07/10 10:09:35 +02:00","1625904575","20997984.4378 RBTC"
"3,504,210","2021/07/10 08:54:26 +02:00","1625900066","20997984.8688 RBTC"
"3,503,979","2021/07/10 06:51:24 +02:00","1625892684","20997985.8679 RBTC"
"3,502,900","2021/07/09 21:45:08 +02:00","1625859908","20997985.9867 RBTC"
"3,501,736","2021/07/09 11:27:34 +02:00","1625822854","20997987.9864 RBTC"
"3,501,418","2021/07/09 08:33:56 +02:00","1625812436","20997988.0014 RBTC"
"3,500,116","2021/07/08 21:14:03 +02:00","1625771643","20997988.1533 RBTC"
"3,499,689","2021/07/08 17:28:17 +02:00","1625758097","20997984.3288 RBTC"
"3,496,984","2021/07/07 17:58:26 +02:00","1625673506","20997984.2995 RBTC"
"3,496,409","2021/07/07 13:06:26 +02:00","1625655986","20997982.2997 RBTC"
"3,496,169","2021/07/07 11:03:26 +02:00","1625648606","20997982.2847 RBTC"
"3,495,110","2021/07/07 01:58:54 +02:00","1625615934","20997982.3154 RBTC"
"3,494,150","2021/07/06 17:31:05 +02:00","1625585465","20997978.3022 RBTC"
"3,491,861","2021/07/05 21:23:58 +02:00","1625513038","20997978.3127 RBTC"
"3,491,467","2021/07/05 17:54:32 +02:00","1625500472","20997978.2542 RBTC"
"3,489,210","2021/07/04 21:45:58 +02:00","1625427958","20997979.2285 RBTC"
"3,488,678","2021/07/04 16:57:03 +02:00","1625410623","20997979.2521 RBTC"
"3,487,228","2021/07/04 04:21:43 +02:00","1625365303","20997979.1461 RBTC"
"3,486,778","2021/07/04 00:18:16 +02:00","1625350696","20997980.1461 RBTC"
"3,486,560","2021/07/03 22:21:15 +02:00","1625343675","20997982.8242 RBTC"
"3,485,776","2021/07/03 15:36:16 +02:00","1625319376","20997982.8738 RBTC"
"3,484,324","2021/07/03 02:42:57 +02:00","1625272977","20997982.5478 RBTC"
"3,482,902","2021/07/02 14:18:01 +02:00","1625228281","20997985.6839 RBTC"
"3,482,670","2021/07/02 12:08:41 +02:00","1625220521","20997983.4639 RBTC"
"3,478,450","2021/07/01 00:38:39 +02:00","1625092719","20997981.4650 RBTC"
"3,477,739","2021/06/30 18:38:13 +02:00","1625071093","20997978.6020 RBTC"
"3,477,008","2021/06/30 12:13:55 +02:00","1625048035","20997978.4820 RBTC"
"3,474,992","2021/06/29 18:52:09 +02:00","1624985529","20997976.3870 RBTC"
"3,474,388","2021/06/29 13:26:17 +02:00","1624965977","20997976.3170 RBTC"
"3,474,313","2021/06/29 12:49:18 +02:00","1624963758","20997974.9870 RBTC"
"3,473,394","2021/06/29 04:46:00 +02:00","1624934760","20997974.9670 RBTC"
"3,473,400","2021/06/29 04:47:50 +02:00","1624934870","20997974.9770 RBTC"
"3,472,974","2021/06/29 01:06:44 +02:00","1624921604","20997974.9670 RBTC"
"3,472,027","2021/06/28 16:58:13 +02:00","1624892293","20997975.0187 RBTC"
"3,471,760","2021/06/28 14:40:07 +02:00","1624884007","20997971.2209 RBTC"
"3,470,273","2021/06/28 01:31:27 +02:00","1624836687","20997968.9669 RBTC"
"3,468,736","2021/06/27 11:45:55 +02:00","1624787155","20997966.9669 RBTC"
"3,467,324","2021/06/26 23:23:28 +02:00","1624742608","20997967.0171 RBTC"
"3,466,939","2021/06/26 20:04:29 +02:00","1624730669","20997963.8092 RBTC"
"3,465,275","2021/06/26 05:09:00 +02:00","1624676940","20997962.7574 RBTC"
